# file...... csv_output/Transformer_VA_Power.csv
# date...... Tue Jun 19 17:30:07 2018
# user...... Kapil.Duwadi
# host...... (null)
# target.... meter 5
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_power_A
2014-06-22 02:29:00 PST,+15828.4+0.102616d
2014-06-22 02:30:00 PST,+16226.4+0.104969d
2014-06-22 02:31:00 PST,+15867+0.0870332d
2014-06-22 02:32:00 PST,+14524.2+0.0752374d
2014-06-22 02:33:00 PST,+14273.4+0.0755366d
2014-06-22 02:34:00 PST,+13003.2+0.0628177d
2014-06-22 02:35:00 PST,+11670.6+0.0551743d
2014-06-22 02:36:00 PST,+11157.1+0.0513546d
2014-06-22 02:37:00 PST,+11157.1+0.0513546d
2014-06-22 02:38:00 PST,+10768.2+0.0475476d
2014-06-22 02:39:00 PST,+11077.3+0.0508978d
2014-06-22 02:40:00 PST,+11453.7+0.0547437d
2014-06-22 02:41:00 PST,+11453.7+0.0547437d
2014-06-22 02:42:00 PST,+12219+0.057894d
2014-06-22 02:43:00 PST,+12219+0.057894d
2014-06-22 02:44:00 PST,+11964+0.0587437d
2014-06-22 02:45:00 PST,+11465.3+0.0534293d
2014-06-22 02:46:00 PST,+12258.8+0.0584558d
2014-06-22 02:47:00 PST,+12728.2+0.0610722d
2014-06-22 02:48:00 PST,+12389.8+0.0577216d
2014-06-22 02:49:00 PST,+11881.4+0.0601023d
2014-06-22 02:50:00 PST,+12460.9+0.0650897d
2014-06-22 02:51:00 PST,+11862.6+0.0583212d
2014-06-22 02:52:00 PST,+13142.8+0.0732378d
2014-06-22 02:53:00 PST,+12757.9+0.0752099d
2014-06-22 02:54:00 PST,+12333.2+0.0740392d
2014-06-22 02:55:00 PST,+13717.4+0.0733626d
2014-06-22 02:56:00 PST,+14344.9+0.0741674d
2014-06-22 02:57:00 PST,+14270.9+0.0718706d
2014-06-22 02:58:00 PST,+15610.4+0.0781768d
2014-06-22 02:59:00 PST,+15175.5+0.0737681d
2014-06-22 03:00:00 PST,+15122.7+0.0733349d
2014-06-22 03:01:00 PST,+14683.4+0.0687203d
2014-06-22 03:02:00 PST,+14664.7+0.0686176d
2014-06-22 03:03:00 PST,+13766.4+0.0613333d
2014-06-22 03:04:00 PST,+13747.7+0.0612318d
2014-06-22 03:05:00 PST,+12256.4+0.0568944d
2014-06-22 03:06:00 PST,+12237.8+0.0567923d
2014-06-22 03:07:00 PST,+12851+0.0636785d
2014-06-22 03:08:00 PST,+13606.9+0.0727549d
2014-06-22 03:09:00 PST,+14581.3+0.0826083d
2014-06-22 03:10:00 PST,+14030.1+0.0776255d
2014-06-22 03:11:00 PST,+14494.3+0.0830662d
2014-06-22 03:12:00 PST,+13262.6+0.0768102d
2014-06-22 03:13:00 PST,+13917.7+0.080481d
2014-06-22 03:14:00 PST,+13289.6+0.079462d
2014-06-22 03:15:00 PST,+13735.5+0.0847085d
2014-06-22 03:16:00 PST,+16209+0.103422d
2014-06-22 03:17:00 PST,+14876.9+0.0961038d
2014-06-22 03:18:00 PST,+14521.7+0.0957229d
2014-06-22 03:19:00 PST,+14123.7+0.0908681d
